type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,price_ema,mid_price_ema
ticker,109354026134,BTC-USD,118260.39,117677.7,4576.95244561,115728.49,118920,190975.56639121,118260.38,1.30182108,118260.39,0.24254533,buy,2025-07-31T13:19:39.109946Z,856435887,0.00010432,118255.53,118255.56
ticker,109354026431,BTC-USD,118260.39,117677.7,4576.95248747,115728.49,118920,190975.56643307,118260.38,0.38959372,118260.39,0.24250347,buy,2025-07-31T13:19:40.029912Z,856435888,0.00004186,118256.34,118256.37
ticker,109354026620,BTC-USD,118260.39,117677.7,4576.95290607,115728.49,118920,190975.56685167,118260.38,0.22627372,118260.39,0.24208487,buy,2025-07-31T13:19:40.487928Z,856435889,0.0004186,118256.70,118256.72
ticker,109354026693,BTC-USD,118260.39,117677.7,4576.95315265,115728.49,118920,190975.56709825,118260.38,0.22627372,118260.39,0.24183829,buy,2025-07-31T13:19:40.742599Z,856435890,0.00024658,118256.88,118256.90
ticker,109354026726,BTC-USD,118260.39,117677.7,4576.95398992,115728.49,118920,190975.56793552,118260.38,0.22627372,118260.39,0.24100102,buy,2025-07-31T13:19:40.837875Z,856435891,0.00083727,118256.95,118256.97
ticker,109354026752,BTC-USD,118260.39,117677.7,4576.95415428,115728.49,118920,190975.56809988,118260.38,0.22627372,118260.39,0.24083666,buy,2025-07-31T13:19:40.953244Z,856435892,0.00016436,118257.03,118257.04
ticker,109354026996,BTC-USD,118260.39,117677.7,4576.95743448,115728.49,118920,190975.57138008,118260.38,0.05790644,118260.39,0.23755646,buy,2025-07-31T13:19:41.417990Z,856435893,0.0032802,118257.32,118257.34
ticker,109354027042,BTC-USD,118260.39,117677.7,4576.95869039,115728.49,118920,190975.57263599,118260.38,0.05790644,118260.39,0.23630055,buy,2025-07-31T13:19:41.469533Z,856435894,0.00125591,118257.36,118257.37
ticker,109354027160,BTC-USD,118260.39,117677.7,4576.96690907,115728.49,118920,190975.58085467,118260.38,0.05790644,118260.39,0.26190587,buy,2025-07-31T13:19:42.084122Z,856435895,0.00821868,118257.71,118257.72
ticker,109354027195,BTC-USD,118260.39,117677.7,4576.97529273,115728.49,118920,190975.58923833,118260.38,0.05790644,118260.39,0.25352221,buy,2025-07-31T13:19:42.128013Z,856435896,0.00838366,118257.73,118257.74
ticker,109354027230,BTC-USD,118260.39,117677.7,4576.97656653,115728.49,118920,190975.59051213,118260.38,0.05790644,118260.39,0.25224841,buy,2025-07-31T13:19:42.213951Z,856435897,0.0012738,118257.78,118257.79
ticker,109354027329,BTC-USD,118260.39,117677.7,4576.97657264,115728.49,118920,190975.59051824,118260.38,0.05790644,118260.39,0.25224230,buy,2025-07-31T13:19:42.544905Z,856435898,0.00000611,118257.94,118257.96
ticker,109354027341,BTC-USD,118260.39,117677.7,4576.97867080,115728.49,118920,190975.59261640,118260.38,0.05790644,118260.39,0.25014414,buy,2025-07-31T13:19:42.582375Z,856435899,0.00209816,118257.96,118257.97
